248,"00:30:50,672","00:30:52,607",I did hear
248,"00:30:50,672","00:30:52,607",something about that.
249,"00:30:52,641","00:30:54,908",And the Queen
249,"00:30:52,641","00:30:54,908",and her twin brother.
250,"00:30:54,943","00:30:58,078",They say that <i>he</i> is the most
250,"00:30:54,943","00:30:58,078",handsome man in the Seven Kingdoms.
251,"00:30:58,112","00:31:00,246",And the other brother?
252,"00:31:00,280","00:31:03,316",- The Queen has two brothers?
252,"00:31:00,280","00:31:03,316","- There's the pretty one,"
253,"00:31:03,350","00:31:06,352",and there's
253,"00:31:03,350","00:31:06,352",the clever one.
254,"00:31:08,221","00:31:11,257","Mmm, I hear they"
254,"00:31:08,221","00:31:11,257",call him the imp.
255,"00:31:11,292","00:31:13,359",I hear he hates
255,"00:31:11,292","00:31:13,359",that nickname.
256,"00:31:13,393","00:31:16,629",Oh?
256,"00:31:13,393","00:31:16,629",I hear he's
256,"00:31:13,393","00:31:16,629",more than earned it.
257,"00:31:16,664","00:31:19,432",I hear he's a drunken
257,"00:31:16,664","00:31:19,432","little lecher,"
258,"00:31:19,467","00:31:21,902",prone to all manner
258,"00:31:19,467","00:31:21,902",of perversions.
259,"00:31:21,936","00:31:23,837",Clever girl.
260,"00:31:25,306","00:31:27,474","We've been expecting you,"
260,"00:31:25,306","00:31:27,474",Lord Tyrion.
261,"00:31:28,776","00:31:30,677",Have you?
262,"00:31:30,711","00:31:32,579",- Oh!
262,"00:31:30,711","00:31:32,579",- Already?
263,"00:31:34,649","00:31:37,451",The gods gave me
263,"00:31:34,649","00:31:37,451",one blessing.
264,"00:31:42,256","00:31:44,858",- Don't get up.
264,"00:31:42,256","00:31:44,858",- My Lord.
265,"00:31:44,892","00:31:47,227",Should I explain to you
265,"00:31:44,892","00:31:47,227",the meaning of a closed door
266,"00:31:47,261","00:31:50,998","- in a whorehouse, brother?"
266,"00:31:47,261","00:31:50,998","- You have much to teach me, no doubt,"
267,"00:31:51,032","00:31:54,668",but our sister craves
267,"00:31:51,032","00:31:54,668",your attention.
268,"00:31:54,702","00:31:56,804","She has odd cravings,"
268,"00:31:54,702","00:31:56,804",our sister.
269,"00:31:56,838","00:31:58,972",A family trait.
270,"00:31:59,007","00:32:01,875",Now the Starks are
270,"00:31:59,007","00:32:01,875",feasting us at sundown.
271,"00:32:01,910","00:32:04,111",Don't leave me alone
271,"00:32:01,910","00:32:04,111",with these people.
272,"00:32:04,146","00:32:06,514","<i>I'm sorry, I've begun</i>"
272,"00:32:04,146","00:32:06,514",<i>the feast a bit early.</i>
273,"00:32:06,548","00:32:09,917",And this is the first
273,"00:32:06,548","00:32:09,917",of many courses.
274,"00:32:09,951","00:32:12,153",I thought
274,"00:32:09,951","00:32:12,153",you might say that.
275,"00:32:12,187","00:32:14,588",But since
275,"00:32:12,187","00:32:14,588",we're short on time...
276,"00:32:14,622","00:32:16,523","Come on, girls."
277,"00:32:21,595","00:32:23,897",See you at sundown.
278,"00:32:23,931","00:32:26,499",<i>Close the door!</i>
279,"00:32:38,647","00:32:41,649",Did you have to bury her
279,"00:32:38,647","00:32:41,649",in a place like this?
280,"00:32:43,386","00:32:45,687",<i>She should be</i>
280,"00:32:43,386","00:32:45,687",<i>on a hill somewhere</i>
281,"00:32:45,722","00:32:48,324",with the sun
281,"00:32:45,722","00:32:48,324",and the clouds above her.
282,"00:32:48,358","00:32:50,326",<i>She was my sister.</i>
283,"00:32:50,360","00:32:53,128",This is where
283,"00:32:50,360","00:32:53,128",she belongs.
284,"00:32:53,163","00:32:55,698",She belonged with me.
285,"00:33:01,071","00:33:04,340","In my dreams,"
285,"00:33:01,071","00:33:04,340",I kill him every night.
286,"00:33:05,875","00:33:08,343","It's done, your Grace."
287,"00:33:08,378","00:33:11,013",The Targaryens are gone.
288,"00:33:13,016","00:33:15,317",Not all of them.
289,"00:33:26,095","00:33:28,196",<i>Daenerys!</i>
290,"00:33:31,267","00:33:33,134",Daenerys.
291,"00:33:33,169","00:33:35,203",There's our bride-to-be.
292,"00:33:36,105","00:33:39,240","Look, a gift"
292,"00:33:36,105","00:33:39,240",from Illyrio.
293,"00:33:40,309","00:33:42,076",Touch it.
294,"00:33:42,111","00:33:44,312","Go on,"
294,"00:33:42,111","00:33:44,312",feel the fabric.
295,"00:33:48,951","00:33:51,118",Mmm.
296,"00:33:52,286","00:33:55,089",Isn't he a gracious host?
297,"00:33:57,259","00:33:59,294",We've been his guests
297,"00:33:57,259","00:33:59,294",for over a year
298,"00:33:59,328","00:34:01,296",and he's never
298,"00:33:59,328","00:34:01,296",asked us for anything.
299,"00:34:01,330","00:34:03,065",Illyrio's no fool.
300,"00:34:03,099","00:34:05,434",He knows I won't
300,"00:34:03,099","00:34:05,434",forget my friends
301,"00:34:05,468","00:34:07,503",when I come
301,"00:34:05,468","00:34:07,503",into my throne.
302,"00:34:11,640","00:34:14,308",You still slouch.
303,"00:34:17,946","00:34:20,347",Let them see.
304,"00:34:22,984","00:34:25,885",You have
304,"00:34:22,984","00:34:25,885",a woman's body now.
305,"00:34:43,436","00:34:46,405",I need you to be
305,"00:34:43,436","00:34:46,405",perfect today.
306,"00:34:47,807","00:34:49,708",Can you do that for me?
307,"00:34:53,113","00:34:55,815",You don't want to wake
307,"00:34:53,113","00:34:55,815","the dragon, do you?"
308,"00:34:57,252","00:34:58,852",No.
309,"00:35:05,794","00:35:08,863",When they write the history
309,"00:35:05,794","00:35:08,863","of my reign, sweet sister,"
310,"00:35:08,897","00:35:11,131",they will say
310,"00:35:08,897","00:35:11,131",it began today.
311,"00:35:34,054","00:35:36,523","It's too hot, my lady."
312,"00:35:57,210","00:35:59,512",Where is he?
313,"00:35:59,546","00:36:02,180",The Dothraki are not known
313,"00:35:59,546","00:36:02,180",for their punctuality.
314,"00:36:15,395","00:36:19,566","Athchomar chomakaan, Khal vezhven."
315,"00:36:19,600","00:36:21,535",May I present
315,"00:36:19,600","00:36:21,535",my honored guests?
316,"00:36:21,569","00:36:25,273",<i>Viserys</i>
316,"00:36:21,569","00:36:25,273","<i>of House Targaryen,</i>"
317,"00:36:25,307","00:36:27,008","<i>the third of his name,</i>"
318,"00:36:27,043","00:36:30,378",<i>the rightful king of the Andals</i>
318,"00:36:27,043","00:36:30,378","<i>and the first men,</i>"
319,"00:36:30,412","00:36:32,146",<i>and his sister</i>
320,"00:36:32,181","00:36:34,816",<i>Daenerys</i>
320,"00:36:32,181","00:36:34,816",<i>of House Targaryen.</i>
321,"00:36:37,720","00:36:40,188",Do you see
321,"00:36:37,720","00:36:40,188",how long his hair is?
